title,genre,url,img_path,views,downloads
Tà Vương Gia Sủng Thê Đặc Công Xuyên Không,Lãng mạn,https://ebookvie.com/ebook/ta-vuong-gia-sung-the-dac-cong-xuyen-khong/,https://ebookvie.com/wp-content/uploads/2025/09/ta-vuong-gia-sung-the-dac-cong-xuyen-khong-nguyen-lai.jpg,0K,0.0K
Thần Thám Bị Vạn Người Ghét Dùng Tiền Tỷ Mua Lòng Người,Phiêu lưu,https://ebookvie.com/ebook/than-tham-bi-van-nguoi-ghet-dung-tien-ty-mua-long-nguoi/,https://ebookvie.com/wp-content/uploads/2025/09/than-tham-bi-van-nguoi-ghet-dung-tien-ty-mua-long-nguoi-vuong-vuong-khao-binh.jpg,0K,0.0K
"Ổn Định Tu Tiên, Cả Cái Tu Tiên Giới Đều Là Nhà Ta",Hài hước,https://ebookvie.com/ebook/on-dinh-tu-tien-ca-cai-tu-tien-gioi-deu-la-nha-ta/,https://ebookvie.com/wp-content/uploads/2025/09/on-dinh-tu-tien-ca-cai-tu-tien-gioi-deu-la-nha-ta.jpg,0.1K,0.1K
Thần Thoại Tạp Sư: Tòng Kỵ Sĩ Khai Thủy,Huyền ảo,https://ebookvie.com/ebook/than-thoai-tap-su-tong-ky-si-khai-thuy/,https://ebookvie.com/wp-content/uploads/2025/09/than-thoai-tap-su_-tong-ky-si-khai-thuy-5bc5d-vu-khi-tieu-tan.jpg,0.3K,0.2K
Người Chơi Hệ Siêu Cấp Trà Xanh Xuyên Thành Công Chúa Nhỏ Đáng Thương,Hot,https://ebookvie.com/ebook/nguoi-choi-he-sieu-cap-tra-xanh-xuyen-thanh-cong-chua-nho-dang-thuong/,https://ebookvie.com/wp-content/uploads/2025/09/nguoi-choi-he-sieu-cap-tra-xanh-xuyen-thanh-cong-chua-nho-dang-thuong-xuan-dao-han.jpg,0.2K,0.2K
Toàn Năng Trung Phong,Huyền ảo,https://ebookvie.com/ebook/toan-nang-trung-phong/,https://ebookvie.com/wp-content/uploads/2025/09/toan-nang-trung-phong-5bc5d-kim-an.jpg,0.2K,0.1K
Ta Có Một Viên Xúc Xắc Vận Mệnh Ma Thuật,Huyền ảo,https://ebookvie.com/ebook/ta-co-mot-vien-xuc-xac-van-menh-ma-thuat/,https://ebookvie.com/wp-content/uploads/2025/09/ta-co-mot-vien-xuc-xac-van-menh-ma-thuat.jpg,0.1K,0.1K
Ta Mượn Trí Nhớ Đại Đế,Kiếm hiệp,https://ebookvie.com/ebook/ta-muon-tri-nho-dai-de/,https://ebookvie.com/wp-content/uploads/2025/09/ta-muon-tri-nho-dai-de-5bc5d-tra-tho-xa.jpg,0.1K,0.1K
Máy Tính Sát Thủ,Hot,https://ebookvie.com/ebook/may-tinh-sat-thu/,https://ebookvie.com/wp-content/uploads/2025/09/may-tinh-sat-thu-christian-grenier-hoang-anh-dich.jpg,1.3K,1.0K
Hùng Bá Cửu Hoang,Huyền ảo,https://ebookvie.com/ebook/hung-ba-cuu-hoang/,https://ebookvie.com/wp-content/uploads/2025/09/hung-ba-cuu-hoang-5bc5d-truc-khach.jpg,0.3K,0.2K
Khủng Bố Đô Thị,Kiếm hiệp,https://ebookvie.com/ebook/khung-bo-do-thi/,https://ebookvie.com/wp-content/uploads/2025/09/khung-bo-do-thi-5bc5d-manh-ho-dao-truong.jpg,0.2K,0.2K
Những Ngày Hỗn Tại Hogwarts,Huyền ảo,https://ebookvie.com/ebook/nhung-ngay-hon-tai-hogwarts/,https://ebookvie.com/wp-content/uploads/2025/09/nhung-ngay-hon-tai-hogwarts-5bc5d-ky-di-dich-hoi-huong-dau.jpg,0.2K,0.2K
Xứ Hải Địa 3 – Bến Bờ Xa Nhất,Phiêu lưu,https://ebookvie.com/ebook/xu-hai-dia-3-ben-bo-xa-nhat/,https://ebookvie.com/wp-content/uploads/2025/09/xu-hai-dia-3-ben-bo-xa-nhat-ursula-k-le-guin.jpg,0.2K,0.2K
Xứ Sở Những Cô Gái Đi Xe Máy Mặc Áo Khoác Hoa,Hiện đại,https://ebookvie.com/ebook/xu-so-nhung-co-gai-di-xe-may-mac-ao-khoac-hoa/,https://ebookvie.com/wp-content/uploads/2025/09/xu-so-nhung-co-gai-di-xe-may-mac-ao-khoac-hoa-juli-zeh-26-dinh-ba-anh-dich.jpg,3.4K,2.6K
Pendragon 9 – Quạ Đen Trỗi Dậy,Huyền ảo,https://ebookvie.com/ebook/pendragon-9-qua-den-troi-day/,https://ebookvie.com/wp-content/uploads/2025/09/pendragon-9-qua-den-troi-day-d-j-machale-dang-phi-bang-dich.jpg,1.2K,0.9K
Cuộc Chiến Của Ác Mộng,Huyền ảo,https://ebookvie.com/ebook/cuoc-chien-cua-ac-mong/,https://ebookvie.com/wp-content/uploads/2025/09/mong-gioi-oniria-3-cuoc-chien-cua-ac-mong-b-f-parry-hoang-anh-dich.jpg,1.5K,1.2K
Vua Cát,Huyền ảo,https://ebookvie.com/ebook/vua-cat/,https://ebookvie.com/wp-content/uploads/2025/09/mong-gioi-oniria-2-vua-cat-b-f-parry-hoang-anh-dich.jpg,1.1K,0.8K
Vương Quốc Trong Mơ,Hot,https://ebookvie.com/ebook/vuong-quoc-trong-mo/,https://ebookvie.com/wp-content/uploads/2025/09/mong-gioi-oniria-1-vuong-quoc-trong-mo-b-f-parry-hoang-anh-dich.jpg,1.2K,0.9K
Sự Thức Dậy Của Loài Tiên,Huyền ảo,https://ebookvie.com/ebook/su-thuc-day-cua-loai-tien/,https://ebookvie.com/wp-content/uploads/2025/09/mong-gioi-oniria-4-su-thuc-day-cua-loai-tien-b-f-parry-hoang-anh-dich.jpg,1K,0.7K
Ta Có Một Cái Quan Tài Hoàng Kim,Đô thị,https://ebookvie.com/ebook/ta-co-mot-cai-quan-tai-hoang-kim/,https://ebookvie.com/wp-content/uploads/2025/02/ta-co-mot-cai-quan-tai-hoang-kim-phong-nam-bac.jpg,2.2K,1.7K
Phản Phái Phải Vô Địch,Huyền ảo,https://ebookvie.com/ebook/phan-phai-phai-vo-dich/,https://ebookvie.com/wp-content/uploads/2025/02/phan-phai-phai-vo-dich-vo-lieu-tieu-bach-a.jpg,3.7K,2.9K
Không Thể Tu Tiên Ta Chỉ Đi Bồi Dưỡng Hồn Sủng,Huyền ảo,https://ebookvie.com/ebook/khong-the-tu-tien-ta-chi-di-boi-duong-hon-sung/,https://ebookvie.com/wp-content/uploads/2025/02/khong-the-tu-tien-ta-chi-di-boi-duong-hon-sung-ha-thu-cam.jpg,3.1K,2.4K
Chiến Lật Cao Không,Kiếm hiệp,https://ebookvie.com/ebook/chien-lat-cao-khong/,https://ebookvie.com/wp-content/uploads/2025/02/chien-lat-cao-khong-ao-bi-gia.jpg,1.4K,1.1K
Quỷ Dị Tu Tiên Thế Giới,Huyền ảo,https://ebookvie.com/ebook/quy-di-tu-tien-the-gioi/,https://ebookvie.com/wp-content/uploads/2025/02/quy-di-tu-tien-the-gioi-long-xa-chi.jpg,2.7K,2.1K
Hỏa Lực Đường Vòng Cung,Đô thị,https://ebookvie.com/ebook/hoa-luc-duong-vong-cung/,https://ebookvie.com/wp-content/uploads/2025/02/hoa-luc-duong-vong-cung-constantine-ba-tuoc.jpg,2.6K,2.0K
Tu Tiên – Khi Ngươi Làm Một Việc Đến Cực Hạn,Huyền ảo,https://ebookvie.com/ebook/tu-tien-khi-nguoi-lam-mot-viec-den-cuc-han/,https://ebookvie.com/wp-content/uploads/2025/02/tu-tien_-khi-nguoi-lam-mot-viec-den-cuc-han-vong-ky-xuyen-ma-giap.jpg,1.8K,1.4K
Lục Địa Kiện Tiên,Hài hước,https://ebookvie.com/ebook/luc-dia-kien-tien/,https://ebookvie.com/wp-content/uploads/2025/02/luc-dia-kien-tien-luc-nhu-hoa-thuong.jpg,1.5K,1.2K
Hệ Thống Cửa Hàng Ở Dị Giới,Huyền ảo,https://ebookvie.com/ebook/he-thong-cua-hang-o-di-gioi/,https://ebookvie.com/wp-content/uploads/2025/02/he-thong-cua-hang-o-di-gioi-341-nhan.jpg,0.8K,0.6K
Ăn Được Cái Tinh Thần Đại Hải,Huyền ảo,https://ebookvie.com/ebook/an-duoc-cai-tinh-than-dai-hai/,https://ebookvie.com/wp-content/uploads/2025/02/an-duoc-cai-tinh-than-dai-hai-van-vu.jpg,1K,0.8K
Ta Bị Zombie Cắn,Huyền ảo,https://ebookvie.com/ebook/ta-bi-zombie-can/,https://ebookvie.com/wp-content/uploads/2025/02/ta-bi-zombie-can-han-da-co-dang.jpg,1.3K,1.0K
Bàng Môn Đạo Sĩ Ở Thế Giới Chí Quái,Huyền ảo,https://ebookvie.com/ebook/bang-mon-dao-si-o-the-gioi-chi-quai/,https://ebookvie.com/wp-content/uploads/2025/02/bang-mon-dao-si-o-the-gioi-chi-quai-thai-kiem.jpg,1.2K,0.9K
Từ Đô Thị Đến Mạnh Nhất Vũ Trụ,Huyền ảo,https://ebookvie.com/ebook/tu-do-thi-den-manh-nhat-vu-tru/,https://ebookvie.com/wp-content/uploads/2025/02/tu-do-thi-den-manh-nhat-vu-tru-cuc-dia-phong-nhan.jpg,1K,0.8K
xXxHoLic (Tiếng Việt),Huyền ảo,https://ebookvie.com/ebook/xxxholic-tieng-viet/,https://ebookvie.com/wp-content/uploads/2025/02/xxxholic-tieng-viet.jpeg,1.6K,1.3K
Góc Chết Bí Mật,Đô thị,https://ebookvie.com/ebook/goc-chet-bi-mat/,https://ebookvie.com/wp-content/uploads/2025/02/goc-chet-bi-mat-con-khai.jpg,1.4K,1.0K
Võ Thần 108,Huyền ảo,https://ebookvie.com/ebook/vo-than-108/,https://ebookvie.com/wp-content/uploads/2025/06/vo-than-108.jpg,0.9K,0.7K
Võ Thần Ngoại Truyện: Diệt Thế Chi Chiến,Huyền ảo,https://ebookvie.com/ebook/vo-than-ngoai-truyen-diet-the-chi-chien/,https://ebookvie.com/wp-content/uploads/2025/06/vo-than-ngoai-truyen-diet-the-chi-chien.jpg,0.6K,0.5K
Ngũ Miêu – Miêu Bất Thác,Kiếm hiệp,https://ebookvie.com/ebook/ngu-mieu-mieu-bat-thac/,https://ebookvie.com/wp-content/uploads/2025/06/ngu-mieu.jpg,0.5K,0.4K
Ngã Lão Ma Thần,Phiêu lưu,https://ebookvie.com/ebook/nga-lao-ma-than/,https://ebookvie.com/wp-content/uploads/2025/06/nga-lao-ma-than.jpg,0.5K,0.4K
Ta Sáng Tạo Truyền Thuyết Đô Thị,Huyền ảo,https://ebookvie.com/ebook/ta-sang-tao-truyen-thuyet-do-thi/,https://ebookvie.com/wp-content/uploads/2025/06/ta-sang-tao-truyen-thuyet-do-thi.jpg,0.7K,0.5K
Quái Lực Loạn Thần,Kiếm hiệp,https://ebookvie.com/ebook/quai-luc-loan-than/,https://ebookvie.com/wp-content/uploads/2025/06/quai-luc-loan-than.jpg,0.5K,0.4K
Làm Nông Dân Trong Tòa Tháp Thử Thách,Huyền ảo,https://ebookvie.com/ebook/lam-nong-dan-trong-toa-thap-thu-thach/,https://ebookvie.com/wp-content/uploads/2025/06/lam-nong-dan-trong-toa-thap-thu-thach.jpg,0K,0.0K
Người Chơi Mạnh Nhất Hồi Quy Lần Thứ 100,Phiêu lưu,https://ebookvie.com/ebook/nguoi-choi-manh-nhat-hoi-quy-lan-thu-100/,https://ebookvie.com/wp-content/uploads/2025/06/nguoi-choi-manh-nhat-hoi-quy-lan-thu-100.jpg,1,1 xem
Dong Binh Thiên Hạ,Phiêu lưu,https://ebookvie.com/ebook/dong-binh-thien-ha/,https://ebookvie.com/wp-content/uploads/2025/06/dong-binh-thien-ha.jpg,0K,0.0K
Kẻ Đầu Cơ Thời Dân Quốc,Phiêu lưu,https://ebookvie.com/ebook/ke-dau-co-thoi-dan-quoc/,https://ebookvie.com/wp-content/uploads/2025/08/ke-dau-co-thoi-dan-quoc-huu-thi-ho-do.jpg,0K,0.0K
Bạc Trên Cây,Hot,https://ebookvie.com/ebook/bac-tren-cay/,https://ebookvie.com/wp-content/uploads/2025/08/bac-tren-cay-susan-cooper-ai-dich.jpg,12.4K,9.5K
Nô Lệ Bóng Tối,Huyền ảo,https://ebookvie.com/ebook/no-le-bong-toi/,https://ebookvie.com/wp-content/uploads/2025/08/no-le-bong-toi-guiltythree.jpg,2.3K,1.8K
Gambit Hậu,Hiện đại,https://ebookvie.com/ebook/gambit-hau/,https://ebookvie.com/wp-content/uploads/2025/08/gambit-hau-walter-tevis-vuong-bao-ngoc-dich.jpg,0K,0.0K
Khai Cuộc Mưu Lược: Bá Chủ Hoa Kỳ,Lịch sử,https://ebookvie.com/ebook/khai-cuoc-muu-luoc-ba-chu-hoa-ky/,https://ebookvie.com/wp-content/uploads/2025/08/khai-cuoc-muu-luoc_-ba-chu-hoa-ky-tieu-ngu-dich-menh-van.jpg,1,1 xem
Phổ La Chi Chủ,Huyền ảo,https://ebookvie.com/ebook/pho-la-chi-chu/,https://ebookvie.com/wp-content/uploads/2025/08/pho-la-chi-chu-sa-lap-co-tu.jpg,2.2K,1.7K
Siêu Nhân Mì Ăn Liền,Hài hước,https://ebookvie.com/ebook/sieu-nhan-mi-an-lien/,https://ebookvie.com/wp-content/uploads/2025/08/sieu-nhan-mi-an-lien.jpg,0K,0.0K
Chiếc Xe Sắt,Kinh dị,https://ebookvie.com/ebook/chiec-xe-sat/,https://ebookvie.com/wp-content/uploads/2025/08/chiec-xe-sat-stein-riverton-phan-ba-dich.jpg,0K,0.0K
Mục tiêu TEHRAN,Lịch sử,https://ebookvie.com/ebook/muc-tieu-tehran/,https://ebookvie.com/wp-content/uploads/2025/08/muc-tieu-tehran-yonah-jeremy-bob-ilan-eyatar.jpg,0K,0.0K
BEC – Tiếng Thét Trong Bóng Tối,Huyền ảo,https://ebookvie.com/ebook/bec-tieng-thet-trong-bong-toi/,https://ebookvie.com/wp-content/uploads/2025/08/bec-tieng-thet-trong-bong-toi.jpg,0K,0.0K
Đại Đế Cấm Khu,Huyền ảo,https://ebookvie.com/ebook/dai-de-cam-khu/,https://ebookvie.com/wp-content/uploads/2025/08/dai-de-cam-khu-ba-thuc-hong-dau.jpg,1,1 xem
