title,genre,url,img_path,views,downloads
Hùng Bá Cửu Hoang,Huyền ảo,https://ebookvie.com/ebook/hung-ba-cuu-hoang/,https://ebookvie.com/wp-content/uploads/2025/09/hung-ba-cuu-hoang-5bc5d-truc-khach.jpg,1,1 xem
Hùng Bá Cửu Hoang,Huyền ảo,https://ebookvie.com/ebook/hung-ba-cuu-hoang/,https://ebookvie.com/wp-content/uploads/2025/09/hung-ba-cuu-hoang-5bc5d-truc-khach.jpg,1,1 xem
Xứ Hải Địa 3 – Bến Bờ Xa Nhất,Phiêu lưu,https://ebookvie.com/ebook/xu-hai-dia-3-ben-bo-xa-nhat/,https://ebookvie.com/wp-content/uploads/2025/09/xu-hai-dia-3-ben-bo-xa-nhat-ursula-k-le-guin.jpg,0.1K,0.1K
Xứ Hải Địa 3 – Bến Bờ Xa Nhất,Phiêu lưu,https://ebookvie.com/ebook/xu-hai-dia-3-ben-bo-xa-nhat/,https://ebookvie.com/wp-content/uploads/2025/09/xu-hai-dia-3-ben-bo-xa-nhat-ursula-k-le-guin.jpg,0.1K,0.1K
Pendragon 9 – Quạ Đen Trỗi Dậy,Huyền ảo,https://ebookvie.com/ebook/pendragon-9-qua-den-troi-day/,https://ebookvie.com/wp-content/uploads/2025/09/pendragon-9-qua-den-troi-day-d-j-machale-dang-phi-bang-dich.jpg,1K,0.8K
Pendragon 9 – Quạ Đen Trỗi Dậy,Huyền ảo,https://ebookvie.com/ebook/pendragon-9-qua-den-troi-day/,https://ebookvie.com/wp-content/uploads/2025/09/pendragon-9-qua-den-troi-day-d-j-machale-dang-phi-bang-dich.jpg,1K,0.8K
Sự Thức Dậy Của Loài Tiên,Huyền ảo,https://ebookvie.com/ebook/su-thuc-day-cua-loai-tien/,https://ebookvie.com/wp-content/uploads/2025/09/mong-gioi-oniria-4-su-thuc-day-cua-loai-tien-b-f-parry-hoang-anh-dich.jpg,0.8K,0.6K
Sự Thức Dậy Của Loài Tiên,Huyền ảo,https://ebookvie.com/ebook/su-thuc-day-cua-loai-tien/,https://ebookvie.com/wp-content/uploads/2025/09/mong-gioi-oniria-4-su-thuc-day-cua-loai-tien-b-f-parry-hoang-anh-dich.jpg,0.8K,0.6K
Ta Có Một Cái Quan Tài Hoàng Kim,Đô thị,https://ebookvie.com/ebook/ta-co-mot-cai-quan-tai-hoang-kim/,https://ebookvie.com/wp-content/uploads/2025/02/ta-co-mot-cai-quan-tai-hoang-kim-phong-nam-bac.jpg,2.1K,1.6K
Ta Có Một Cái Quan Tài Hoàng Kim,Đô thị,https://ebookvie.com/ebook/ta-co-mot-cai-quan-tai-hoang-kim/,https://ebookvie.com/wp-content/uploads/2025/02/ta-co-mot-cai-quan-tai-hoang-kim-phong-nam-bac.jpg,2.1K,1.6K
Ta Bị Zombie Cắn,Huyền ảo,https://ebookvie.com/ebook/ta-bi-zombie-can/,https://ebookvie.com/wp-content/uploads/2025/02/ta-bi-zombie-can-han-da-co-dang.jpg,1.2K,0.9K
Ta Bị Zombie Cắn,Huyền ảo,https://ebookvie.com/ebook/ta-bi-zombie-can/,https://ebookvie.com/wp-content/uploads/2025/02/ta-bi-zombie-can-han-da-co-dang.jpg,1.2K,0.9K
Từ Đô Thị Đến Mạnh Nhất Vũ Trụ,Huyền ảo,https://ebookvie.com/ebook/tu-do-thi-den-manh-nhat-vu-tru/,https://ebookvie.com/wp-content/uploads/2025/02/tu-do-thi-den-manh-nhat-vu-tru-cuc-dia-phong-nhan.jpg,1K,0.7K
Từ Đô Thị Đến Mạnh Nhất Vũ Trụ,Huyền ảo,https://ebookvie.com/ebook/tu-do-thi-den-manh-nhat-vu-tru/,https://ebookvie.com/wp-content/uploads/2025/02/tu-do-thi-den-manh-nhat-vu-tru-cuc-dia-phong-nhan.jpg,1K,0.7K
xXxHoLic (Tiếng Việt),Huyền ảo,https://ebookvie.com/ebook/xxxholic-tieng-viet/,https://ebookvie.com/wp-content/uploads/2025/02/xxxholic-tieng-viet.jpeg,1.5K,1.2K
xXxHoLic (Tiếng Việt),Huyền ảo,https://ebookvie.com/ebook/xxxholic-tieng-viet/,https://ebookvie.com/wp-content/uploads/2025/02/xxxholic-tieng-viet.jpeg,1.5K,1.2K
