title,genre,url,img_path,views,downloads
xXxHoLic (Tiếng Việt),Huyền ảo,https://ebookvie.com/ebook/xxxholic-tieng-viet/,https://ebookvie.com/wp-content/uploads/2025/02/xxxholic-tieng-viet.jpeg,1.6K,1.2K
xXxHoLic (Tiếng Việt),Huyền ảo,https://ebookvie.com/ebook/xxxholic-tieng-viet/,https://ebookvie.com/wp-content/uploads/2025/02/xxxholic-tieng-viet.jpeg,1.6K,1.2K
Ta Là Tà Đế,Huyền ảo,https://ebookvie.com/ebook/ta-la-ta-de/,https://ebookvie.com/wp-content/uploads/2025/06/ta-la-ta-de.jpg,0.9K,0.7K
Ta Là Tà Đế,Huyền ảo,https://ebookvie.com/ebook/ta-la-ta-de/,https://ebookvie.com/wp-content/uploads/2025/06/ta-la-ta-de.jpg,0.9K,0.7K
Giáo Sư Gián Điệp,Hài hước,https://ebookvie.com/ebook/giao-su-gian-diep/,https://ebookvie.com/wp-content/uploads/2025/06/giao-su-gian-diep.jpg,0.8K,0.6K
Giáo Sư Gián Điệp,Hài hước,https://ebookvie.com/ebook/giao-su-gian-diep/,https://ebookvie.com/wp-content/uploads/2025/06/giao-su-gian-diep.jpg,0.8K,0.6K
Võ Thần 108,Huyền ảo,https://ebookvie.com/ebook/vo-than-108/,https://ebookvie.com/wp-content/uploads/2025/06/vo-than-108.jpg,0.8K,0.6K
Võ Thần 108,Huyền ảo,https://ebookvie.com/ebook/vo-than-108/,https://ebookvie.com/wp-content/uploads/2025/06/vo-than-108.jpg,0.8K,0.6K
Võ Thần Ngoại Truyện: Diệt Thế Chi Chiến,Huyền ảo,https://ebookvie.com/ebook/vo-than-ngoai-truyen-diet-the-chi-chien/,https://ebookvie.com/wp-content/uploads/2025/06/vo-than-ngoai-truyen-diet-the-chi-chien.jpg,0.6K,0.4K
Võ Thần Ngoại Truyện: Diệt Thế Chi Chiến,Huyền ảo,https://ebookvie.com/ebook/vo-than-ngoai-truyen-diet-the-chi-chien/,https://ebookvie.com/wp-content/uploads/2025/06/vo-than-ngoai-truyen-diet-the-chi-chien.jpg,0.6K,0.4K
Tu La Võ Thần,Huyền ảo,https://ebookvie.com/ebook/tu-la-vo-than/,https://ebookvie.com/wp-content/uploads/2025/06/tu-la-vo-than.jpg,0.4K,0.3K
