title,genre,url,img_path,views,downloads
Tà Vương Gia Sủng Thê Đặc Công Xuyên Không,Lãng mạnSách lãng mạn,https://ebookvie.com/ebook/ta-vuong-gia-sung-the-dac-cong-xuyen-khong/,https://ebookvie.com/wp-content/uploads/2025/09/ta-vuong-gia-sung-the-dac-cong-xuyen-khong-nguyen-lai.jpg,0K,0.0K
Tà Vương Gia Sủng Thê Đặc Công Xuyên Không,Lãng mạnSách lãng mạn,https://ebookvie.com/ebook/ta-vuong-gia-sung-the-dac-cong-xuyen-khong/,https://ebookvie.com/wp-content/uploads/2025/09/ta-vuong-gia-sung-the-dac-cong-xuyen-khong-nguyen-lai.jpg,0K,0.0K
"Xuyên Thành Trà Xanh Phản Diện, Công Chúa Không Ngán Một Ai",Hài hước,https://ebookvie.com/ebook/xuyen-thanh-tra-xanh-phan-dien-cong-chua-khong-ngan-mot-ai/,https://ebookvie.com/wp-content/uploads/2025/09/xuyen-thanh-tra-xanh-phan-dien-cong-chua-khong-ngan-mot-ai-duong-y-y.jpg,0K,0.0K
"Xuyên Thành Trà Xanh Phản Diện, Công Chúa Không Ngán Một Ai",Hài hước,https://ebookvie.com/ebook/xuyen-thanh-tra-xanh-phan-dien-cong-chua-khong-ngan-mot-ai/,https://ebookvie.com/wp-content/uploads/2025/09/xuyen-thanh-tra-xanh-phan-dien-cong-chua-khong-ngan-mot-ai-duong-y-y.jpg,0K,0.0K
Toà Thành Trong Mây,Lãng mạn,https://ebookvie.com/ebook/toa-thanh-trong-may/,https://ebookvie.com/wp-content/uploads/2025/09/toa-thanh-trong-may-ngu-tieu-lan-san.jpg,0K,0.0K
Toà Thành Trong Mây,Lãng mạn,https://ebookvie.com/ebook/toa-thanh-trong-may/,https://ebookvie.com/wp-content/uploads/2025/09/toa-thanh-trong-may-ngu-tieu-lan-san.jpg,0K,0.0K
Có Gió Thổi Qua,Đam mỹ,https://ebookvie.com/ebook/co-gio-thoi-qua/,https://ebookvie.com/wp-content/uploads/2025/09/co-gio-thoi-qua-lai-lanh-lung.jpg,0.1K,0.1K
Có Gió Thổi Qua,Đam mỹ,https://ebookvie.com/ebook/co-gio-thoi-qua/,https://ebookvie.com/wp-content/uploads/2025/09/co-gio-thoi-qua-lai-lanh-lung.jpg,0.1K,0.1K
Người Chơi Hệ Siêu Cấp Trà Xanh Xuyên Thành Công Chúa Nhỏ Đáng Thương,Hot,https://ebookvie.com/ebook/nguoi-choi-he-sieu-cap-tra-xanh-xuyen-thanh-cong-chua-nho-dang-thuong/,https://ebookvie.com/wp-content/uploads/2025/09/nguoi-choi-he-sieu-cap-tra-xanh-xuyen-thanh-cong-chua-nho-dang-thuong-xuan-dao-han.jpg,0.2K,0.2K
Người Chơi Hệ Siêu Cấp Trà Xanh Xuyên Thành Công Chúa Nhỏ Đáng Thương,Hot,https://ebookvie.com/ebook/nguoi-choi-he-sieu-cap-tra-xanh-xuyen-thanh-cong-chua-nho-dang-thuong/,https://ebookvie.com/wp-content/uploads/2025/09/nguoi-choi-he-sieu-cap-tra-xanh-xuyen-thanh-cong-chua-nho-dang-thuong-xuan-dao-han.jpg,0.2K,0.2K
Bày Quầy Khắp Nơi Bên Cạnh Phú Bà,Hài hước,https://ebookvie.com/ebook/bay-quay-khap-noi-ben-canh-phu-ba/,https://ebookvie.com/wp-content/uploads/2025/09/bay-quay-khap-noi-ben-canh-phu-ba-phong-thinh-lan.jpg,0.2K,0.2K
Bày Quầy Khắp Nơi Bên Cạnh Phú Bà,Hài hước,https://ebookvie.com/ebook/bay-quay-khap-noi-ben-canh-phu-ba/,https://ebookvie.com/wp-content/uploads/2025/09/bay-quay-khap-noi-ben-canh-phu-ba-phong-thinh-lan.jpg,0.2K,0.2K
Ngày Yêu Thầm Kết Thúc,Hiện đại,https://ebookvie.com/ebook/ngay-yeu-tham-ket-thuc/,https://ebookvie.com/wp-content/uploads/2025/09/ngay-yeu-tham-ket-thuc-bon-la-bac.jpg,0.5K,0.4K
Ngày Yêu Thầm Kết Thúc,Hiện đại,https://ebookvie.com/ebook/ngay-yeu-tham-ket-thuc/,https://ebookvie.com/wp-content/uploads/2025/09/ngay-yeu-tham-ket-thuc-bon-la-bac.jpg,0.5K,0.4K
Tình Yêu Của Thánh,Lãng mạn,https://ebookvie.com/ebook/tinh-yeu-cua-thanh/,https://ebookvie.com/wp-content/uploads/2025/09/tinh-yeu-cua-thanh-nguyen-manh-tuan.jpg,0.5K,0.4K
Tình Yêu Của Thánh,Lãng mạn,https://ebookvie.com/ebook/tinh-yeu-cua-thanh/,https://ebookvie.com/wp-content/uploads/2025/09/tinh-yeu-cua-thanh-nguyen-manh-tuan.jpg,0.5K,0.4K
Vị Công Tước Anh Hào,Lãng mạn,https://ebookvie.com/ebook/vi-cong-tuoc-anh-hao/,https://ebookvie.com/wp-content/uploads/2025/09/vi-cong-tuoc-anh-hao-loretta-chase-thuy-linh-dich.jpg,0.4K,0.3K
Vị Công Tước Anh Hào,Lãng mạn,https://ebookvie.com/ebook/vi-cong-tuoc-anh-hao/,https://ebookvie.com/wp-content/uploads/2025/09/vi-cong-tuoc-anh-hao-loretta-chase-thuy-linh-dich.jpg,0.4K,0.3K
Dù Ngủ Dù Thức,Hiện đại,https://ebookvie.com/ebook/du-ngu-du-thuc/,https://ebookvie.com/wp-content/uploads/2025/09/du-ngu-du-thuc-tomoka-shibasaki-tran-anh-ly-dich.jpg,1.4K,1.1K
Dù Ngủ Dù Thức,Hiện đại,https://ebookvie.com/ebook/du-ngu-du-thuc/,https://ebookvie.com/wp-content/uploads/2025/09/du-ngu-du-thuc-tomoka-shibasaki-tran-anh-ly-dich.jpg,1.4K,1.1K
Cô Nàng Mộ Bên,Lãng mạn,https://ebookvie.com/ebook/co-nang-mo-ben/,https://ebookvie.com/wp-content/uploads/2025/09/co-nang-mo-ben-katarina-mazetti.jpg,0.3K,0.2K
Cô Nàng Mộ Bên,Lãng mạn,https://ebookvie.com/ebook/co-nang-mo-ben/,https://ebookvie.com/wp-content/uploads/2025/09/co-nang-mo-ben-katarina-mazetti.jpg,0.3K,0.2K
Anh Chàng Mộ Bên,Hot,https://ebookvie.com/ebook/anh-chang-mo-ben/,https://ebookvie.com/wp-content/uploads/2025/09/anh-chang-mo-ben-katarina-mazetti.jpg,0.8K,0.6K
Anh Chàng Mộ Bên,Hot,https://ebookvie.com/ebook/anh-chang-mo-ben/,https://ebookvie.com/wp-content/uploads/2025/09/anh-chang-mo-ben-katarina-mazetti.jpg,0.8K,0.6K
Một Ngày Cho Một Đời,Lãng mạn,https://ebookvie.com/ebook/mot-ngay-cho-mot-doi/,https://ebookvie.com/wp-content/uploads/2025/09/mot-ngay-cho-mot-doi-christin-antoni.jpg,0.8K,0.6K
Một Ngày Cho Một Đời,Lãng mạn,https://ebookvie.com/ebook/mot-ngay-cho-mot-doi/,https://ebookvie.com/wp-content/uploads/2025/09/mot-ngay-cho-mot-doi-christin-antoni.jpg,0.8K,0.6K
Thư Ký Riêng Của Tổng Giám Đốc,Lãng mạn,https://ebookvie.com/ebook/thu-ky-rieng-cua-tong-giam-doc/,https://ebookvie.com/wp-content/uploads/2025/09/thu-ky-rieng-cua-tong-giam-doc-carole-mortimer.jpg,0.8K,0.6K
Thư Ký Riêng Của Tổng Giám Đốc,Lãng mạn,https://ebookvie.com/ebook/thu-ky-rieng-cua-tong-giam-doc/,https://ebookvie.com/wp-content/uploads/2025/09/thu-ky-rieng-cua-tong-giam-doc-carole-mortimer.jpg,0.8K,0.6K
Yêu Em Kể Từ Ngày Cưới,Lãng mạn,https://ebookvie.com/ebook/yeu-em-ke-tu-ngay-cuoi/,https://ebookvie.com/wp-content/uploads/2025/09/yeu-em-ke-tu-ngay-cuoi-barbara-dunlop.jpg,0.7K,0.5K
Yêu Em Kể Từ Ngày Cưới,Lãng mạn,https://ebookvie.com/ebook/yeu-em-ke-tu-ngay-cuoi/,https://ebookvie.com/wp-content/uploads/2025/09/yeu-em-ke-tu-ngay-cuoi-barbara-dunlop.jpg,0.7K,0.5K
